MCS,ft0,st0,e0,ft1,st1,e1
0,-9.48,101.29054835320244,95.75202093554232,-22.72,69.68755162304723,65.06717404189487
1,-9.48,95.3006530889391,90.06162043449214,-22.72,69.68755162304723,65.06717404189487
2,-9.48,95.3006530889391,90.06162043449214,-22.12,65.714245320552,61.3225330545244
7,-9.48,93.48643053695486,88.33810901010712,-22.12,65.714245320552,61.3225330545244
8,-9.48,93.48643053695486,88.33810901010712,-22.12,65.714245320552,61.3225330545244
11,-9.48,93.47387794388595,88.32618404669165,-22.12,65.714245320552,61.3225330545244
12,-9.48,93.47387794388595,88.32618404669165,-22.12,65.50462347367011,61.123392299986605
18,-9.48,93.47387794388595,88.32618404669165,-22.12,67.11457257327497,62.65284394461123
27,-3.95,93.47387794388595,88.60268404669165,-27.65,67.11457257327497,62.37634394461123
30,-10.27,93.47387794388595,88.28668404669166,-43.93,68.55105794188208,62.927005044787975
31,-10.27,95.18744642020721,89.91457409919686,-43.93,68.55105794188208,62.927005044787975
33,-10.27,89.68141711368668,84.68384625800236,-43.93,68.55105794188208,62.927005044787975
34,-10.27,89.68141711368668,84.68384625800236,-59.73,68.55105794188208,62.13700504478798
35,-10.27,90.29914288282227,85.27068573868117,-59.73,68.55105794188208,62.13700504478798
36,-10.27,90.29914288282227,85.27068573868117,-37.129999999999995,64.71174944078427,59.61966196874507
37,-10.27,85.35736679164354,80.57599845206138,-37.129999999999995,64.71174944078427,59.61966196874507
39,-10.27,82.25392038859077,77.62772436916124,-37.129999999999995,64.71174944078427,59.61966196874507
40,-10.27,82.25392038859077,77.62772436916124,-37.129999999999995,66.16668201851185,61.00184791758627
42,-0.0,82.25392038859077,78.14122436916124,-15.8,63.21641367381546,59.265592990124695
45,-0.0,78.71321526501589,74.7775545017651,-15.8,63.21641367381546,59.265592990124695
47,-0.0,74.36912224879596,70.65066613635616,-15.8,63.21641367381546,59.265592990124695
49,-0.0,68.04809075183975,64.64568621424777,-15.8,63.21641367381546,59.265592990124695
50,-0.0,68.04809075183975,64.64568621424777,-15.8,63.21641367381546,59.265592990124695
51,-7.9,68.10027023491745,64.30025672317159,-23.7,63.21641367381546,58.8705929901247
52,-7.9,68.10027023491745,64.30025672317159,-23.7,80.73094467083548,75.50939743729371
56,-7.9,68.10027023491745,64.30025672317159,-23.7,74.78205576427585,69.85795297606207
57,-7.9,66.2749507371039,62.56620320024871,-23.7,74.78205576427585,69.85795297606207
58,-7.9,66.2749507371039,62.56620320024871,-23.7,66.58148369232323,62.06740950770708
59,-18.433333333333334,66.39449559759943,62.153104151052794,-28.966666666666665,66.58148369232323,61.80407617437375
62,-18.433333333333334,66.39449559759943,62.153104151052794,-28.966666666666665,60.656136777286825,56.174996605089156
65,-34.81666666666667,67.54882754509556,62.43055283450746,-35.18333333333333,60.656136777286825,55.86416327175582
67,-26.916666666666668,61.80077733078562,57.364905130913016,-27.28333333333333,60.656136777286825,56.259163271755824
69,-26.916666666666668,65.5463983233798,60.92324507387749,-27.28333333333333,60.656136777286825,56.259163271755824
72,-22.383333333333333,65.5463983233798,61.149911740544155,-25.616666666666667,60.656136777286825,56.34249660508915
79,-11.850000000000001,55.8759629426822,52.489664795548094,-20.35,60.656136777286825,56.60582993842249
