,1,7,13,19,25,31,37,43,49,55,61,67,73,79,85,91,97,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,193,199,205,211,217,223,229,235,241,247,253,259,265,271,277,283,289,295,301,307,313,319,325,331,337,343,349,355,361,367,373,379,385,391,397
1,0.0,57.65538466302383,0.1,0.1,0.1,87.78360734873283,0.1,0.1,0.1,0.1,0.1,78.9475707875068,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,63.0300466745837,0.1,56.9594343258286,0.1,80.71348611489907,0.1,0.1,0.1,0.1,64.34504040246716,0.1,0.1,79.18549311914163,0.1,68.90182632714765,0.1,0.1,0.1,92.65248868973333,0.1,0.1,0.1,69.91509124991356,0.1,0.1,93.47167280975086,0.1,0.1,50.58770069386645,97.16875787963697,0.1,0.1,0.1,0.1,0.1,0.1,74.94774905794783,0.1,80.33860905144691,97.66322645310753,0.1,79.74698220850357,0.1,0.1,0.1,0.1,0.1
7,57.65538466302383,0.0,0.1,0.1,0.1,74.09033592483536,0.1,0.1,0.1,0.1,0.1,0.1,69.05693360921879,53.7157657548152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,93.80943277245264,0.1,0.1,0.1,0.1,0.1,54.92714978668936,67.69677054688574,0.1,0.1,0.1,0.1,0.1,71.67934447128297,0.1,0.1,60.31854622292596,0.1,73.98462118780225,66.4385839390595,90.84534133122403,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,50.19884989149702,75.54358105568932,0.1,61.899427881563696,84.08267706307038,76.28775135448282,0.1,0.1,0.1,81.54419690485068,0.1,0.1,0.1,0.1,60.22998169336573,0.1,59.500168506217264
13,0.1,0.1,0.0,0.1,0.1,0.1,0.1,98.72268495054652,0.1,93.41509207443465,0.1,0.1,0.1,61.46909338107225,86.92044110613935,0.1,0.1,0.1,0.1,0.1,0.1,88.48238972233922,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,91.04827662196429,0.1,0.1,0.1,0.1,0.1,0.1,0.1,93.70876938788916,0.1,0.1,54.32976348192674,0.1,0.1,80.31912028461917,0.1,0.1,0.1,84.73742380669948,0.1,0.1,93.27100628410423,83.5069665985055,0.1,0.1,0.1,0.1,0.1,0.1,73.43341212364099,0.1,51.57218389776748,92.82509792785407,68.15744831825083
19,0.1,0.1,0.1,0.0,0.1,0.1,68.71192793717688,0.1,0.1,62.50510999437997,0.1,0.1,0.1,0.1,0.1,56.54705691753505,87.58812800064732,0.1,0.1,67.65130221322548,0.1,0.1,0.1,57.082269192676094,0.1,0.1,51.81722649132918,0.1,77.23465367899266,0.1,0.1,0.1,0.1,67.67348893069301,0.1,0.1,0.1,0.1,0.1,57.38167107392538,0.1,0.1,0.1,0.1,0.1,0.1,0.1,80.61345274067217,0.1,60.31198584224402,90.06666529540908,97.42005063241902,0.1,58.78531615994045,93.02384974619308,0.1,68.35602109698345,0.1,0.1,96.01220627734239,54.37304759110777,62.806428258431424,0.1,0.1,0.1,64.72332280597496,81.26756921597149
25,0.1,0.1,0.1,0.1,0.0,97.01129527049005,52.20098853230098,0.1,73.09981641317289,0.1,85.81942561588569,73.82872310318704,0.1,0.1,0.1,0.1,0.1,0.1,52.555643492444695,0.1,0.1,77.77592115461741,0.1,0.1,0.1,0.1,0.1,0.1,0.1,68.87011252661836,91.23908623881277,0.1,0.1,0.1,0.1,0.1,0.1,65.3765925236519,0.1,0.1,77.62296282457247,0.1,0.1,56.139140077310664,67.97046675939609,0.1,0.1,52.90846008608342,0.1,77.45392333823428,0.1,0.1,0.1,0.1,0.1,94.61398680118769,0.1,0.1,0.1,68.47171637378185,0.1,94.52560285714276,89.61724834557215,50.041840332534015,0.1,0.1,0.1
31,87.78360734873283,74.09033592483536,0.1,0.1,97.01129527049005,0.0,0.1,76.47686543517605,0.1,97.55947149130913,61.75030779883114,0.1,0.1,0.1,81.65212891736549,0.1,80.58559164949598,0.1,97.01406220050646,0.1,0.1,66.8219813726862,0.1,0.1,0.1,0.1,89.86576937730922,0.1,0.1,0.1,51.83968213831166,81.13996144002016,0.1,0.1,0.1,80.32054798558119,96.83657844048275,0.1,0.1,59.05592632465603,0.1,87.80264559344155,0.1,52.093661975208775,0.1,0.1,0.1,65.58154268174187,57.65516456148579,0.1,0.1,0.1,0.1,59.38263071289704,0.1,0.1,0.1,76.09004068417114,0.1,76.49570108069082,0.1,98.93545126912936,0.1,85.24089045068263,0.1,67.78344622251326,78.00968972081377
37,0.1,0.1,0.1,68.71192793717688,52.20098853230098,0.1,0.0,0.1,0.1,64.83789981798465,54.92324919118124,0.1,57.24408985979585,0.1,80.74709768099686,0.1,0.1,0.1,0.1,0.1,0.1,68.1872874487905,0.1,0.1,0.1,0.1,93.93549669419745,92.56656165763168,51.44379118971878,0.1,73.90586402756504,0.1,0.1,0.1,0.1,0.1,0.1,69.67987547549716,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,53.00156955528662,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,75.41189940283931,57.346485847392685,0.1,0.1,57.66164448374238,72.86435194514706,0.1
43,0.1,0.1,98.72268495054652,0.1,0.1,76.47686543517605,0.1,0.0,75.8409052263796,67.81108431009392,79.01721932973628,93.81942189914179,0.1,0.1,67.7091507197065,0.1,60.22885449727107,76.80896489508046,0.1,0.1,91.64609528265942,50.67498178082648,0.1,0.1,0.1,0.1,0.1,0.1,0.1,86.03452048754158,0.1,0.1,0.1,0.1,95.5987533714357,0.1,0.1,0.1,0.1,0.1,97.91017080500009,0.1,0.1,51.41521814125578,68.15955776909082,0.1,78.85026286170807,0.1,77.0835460543679,0.1,0.1,0.1,0.1,0.1,88.21848017961204,0.1,0.1,93.00024819118889,0.1,0.1,0.1,90.09265104928747,0.1,0.1,59.9717839930598,0.1,75.6146866240528
49,0.1,0.1,0.1,0.1,73.09981641317289,0.1,0.1,75.8409052263796,0.0,0.1,0.1,0.1,0.1,0.1,72.80661951867008,0.1,0.1,70.66777552141887,0.1,0.1,0.1,0.1,0.1,0.1,81.46342576244074,0.1,0.1,0.1,0.1,0.1,0.1,76.82493343748388,0.1,53.27543552187183,0.1,58.379813115095246,0.1,66.35166735908416,0.1,0.1,0.1,0.1,0.1,58.41709027136413,96.63403099492925,0.1,87.5679262673982,0.1,76.38187666332774,63.31945877975582,0.1,95.90764529929945,78.08853883219757,0.1,94.32736862564695,0.1,0.1,60.277826831255496,70.79582080279172,0.1,0.1,56.399469993000544,0.1,65.0324088413032,0.1,0.1,0.1
55,0.1,0.1,93.41509207443465,62.50510999437997,0.1,97.55947149130913,64.83789981798465,67.81108431009392,0.1,0.0,98.36685198621048,0.1,76.04065355646414,0.1,0.1,0.1,60.76526834622813,0.1,51.733155160013844,0.1,0.1,0.1,0.1,0.1,0.1,0.1,76.51878413638725,0.1,79.73302367160538,98.61565761991005,0.1,0.1,0.1,0.1,0.1,91.82586251011594,76.3784626197295,0.1,0.1,0.1,0.1,80.66717329570301,0.1,0.1,0.1,58.98198683071029,0.1,0.1,82.5602266829545,66.93050768685012,0.1,86.30757687207078,0.1,78.11308581800091,0.1,90.08679915430332,91.23987168253933,0.1,0.1,0.1,84.01971263704719,0.1,0.1,0.1,61.83480029903283,79.79152922522184,0.1
